N	F0	PER	d0	v0	collision
3	-1	0.360000	4.013000	73	0
3	-7	0.080000	5.139000	64	0
6	-7	0.700000	5.251000	79	1
6	-8	0.340000	7.910000	56	0
3	-5	0.100000	5.681000	88	0
6	-3	0.310000	4.287000	78	0
8	-8	0.580000	7.069000	71	1
6	-3	0.690000	8.757000	80	1
10	-5	0.650000	6.940000	68	1
10	-8	0.690000	6.080000	69	1
10	-4	0.080000	6.650000	48	1
10	-1	0.210000	6.770000	24	1
8	-2	0.160000	7.245000	41	0
6	-4	0.950000	8.243000	28	1
5	-5	0.670000	4.365000	59	1
7	-6	0.800000	6.986000	35	1
5	-4	0.760000	5.174000	62	1
8	-2	0.970000	6.270000	53	1
6	-4	0.840000	8.452000	26	0
9	-7	0.280000	5.670000	46	1
5	-8	0.300000	6.404000	82	1
9	-6	0.520000	7.523000	32	1
6	-2	0.650000	5.164000	48	0
5	-8	0.000e+000	8.927000	55	0
9	-8	0.430000	6.159000	36	0
6	-8	0.540000	5.172000	35	0
5	-7	0.890000	6.400000	41	1
5	-8	0.610000	5.025000	72	1
9	-6	0.830000	6.158000	62	1
7	-8	0.050000	4.775000	13	0
10	-3	0.020000	8.661000	35	0
9	-7	0.420000	6.352000	72	1
3	-3	0.700000	5.044000	71	0
3	-1	0.420000	6.192000	22	0
5	-3	0.640000	4.807000	52	0
6	-6	0.330000	7.497000	36	0
7	-2	0.510000	4.268000	54	0
8	-8	0.250000	8.604000	40	0
4	-5	0.210000	4.097000	17	0
5	-6	0.580000	6.259000	29	0
5	-2	0.770000	6.452000	13	0
8	-4	0.960000	6.625000	77	1
8	-2	0.830000	8.801000	50	1
9	-6	0.860000	4.538000	46	1
9	-8	0.320000	5.223000	33	0
5	-2	0.750000	4.741000	83	0
4	-2	0.950000	7.439000	67	1
7	-2	0.340000	5.535000	86	0
9	-4	0.080000	4.872000	72	0
7	-7	0.840000	4.947000	53	1
5	-5	0.790000	5.590000	40	1
4	-5	0.610000	7.736000	86	1
3	-5	0.990000	5.803000	65	1
4	-6	0.970000	7.383000	18	1
5	-6	0.860000	7.951000	77	1
8	-5	0.170000	5.096000	43	0
4	-1	0.630000	5.560000	19	0
10	-4	0.090000	6.222000	86	1
4	-7	0.130000	7.853000	88	0
9	-8	0.990000	5.008000	20	1
4	-8	0.780000	6.215000	19	1
5	-2	0.760000	5.288000	53	0
10	-5	0.450000	5.473000	77	1
5	-3	0.670000	4.114000	68	1
4	-3	0.310000	6.751000	44	0
3	-4	0.170000	8.910000	16	0
4	-1	0.810000	4.044000	73	1
5	-2	0.940000	6.682000	89	1
6	-5	0.740000	6.287000	14	0
7	-8	0.680000	8.542000	75	1
3	-3	0.630000	4.182000	22	0
3	-8	0.850000	7.772000	12	0
7	-3	0.570000	8.919000	43	0
5	-2	0.390000	6.748000	43	0
7	-4	0.500000	8.456000	13	0
5	-3	0.240000	7.797000	38	0
6	-8	0.350000	7.023000	88	0
6	-7	0.940000	5.306000	12	0
3	-5	0.550000	4.501000	61	1
8	-3	0.520000	8.574000	15	0
4	-2	0.740000	6.998000	74	1
10	-5	0.050000	4.127000	79	1
5	-4	0.860000	6.236000	44	1
7	-3	0.160000	8.346000	89	0
9	-7	0.730000	5.701000	86	1
5	-3	0.270000	7.362000	88	0
10	-4	0.290000	8.077000	83	1
6	-3	0.600000	7.686000	88	0
4	-5	0.450000	8.944000	55	0
10	-3	0.400000	7.092000	42	1
5	-7	0.800000	5.201000	21	0
7	-7	0.580000	8.875000	60	1
8	-5	0.450000	8.561000	73	0
10	-8	0.670000	6.989000	52	1
3	-4	0.970000	4.082000	17	1
10	-5	0.950000	8.162000	11	1
3	-7	0.260000	7.785000	16	0
7	-8	0.380000	5.405000	32	0
3	-2	0.540000	6.257000	43	0
8	-3	0.170000	6.404000	19	0
10	-3	0.120000	6.831000	35	1
6	-7	0.760000	7.004000	52	1
4	-4	0.380000	4.593000	27	0
8	-3	0.840000	7.775000	15	0
10	-3	0.410000	5.147000	12	0
4	-8	1.000000	5.727000	44	1
4	-5	0.980000	4.805000	78	1
9	-5	0.370000	5.396000	57	0
5	-6	0.060000	7.902000	30	0
7	-6	0.500000	5.153000	11	0
5	-2	0.330000	5.492000	52	0
7	-2	0.850000	6.200000	87	1
9	-2	0.890000	5.332000	88	1
4	-8	0.090000	8.029000	72	0
9	-5	0.380000	6.754000	72	1
10	-2	0.500000	6.863000	87	1
3	-6	0.630000	7.003000	63	0
5	-4	0.850000	5.632000	54	1
4	-7	0.160000	7.738000	59	0
4	-8	0.530000	7.402000	32	0
9	-2	0.390000	7.034000	84	1
10	-1	0.940000	6.235000	47	1
8	-5	0.330000	4.289000	25	0
8	-7	0.960000	4.242000	31	1
7	-1	0.830000	6.409000	83	1
6	-5	0.110000	7.594000	82	0
8	-6	0.530000	8.932000	57	1
8	-1	0.230000	6.635000	81	0
9	-2	0.270000	5.566000	72	0
5	-6	0.030000	5.640000	53	0
3	-1	0.970000	5.374000	34	1
7	-3	0.940000	4.443000	27	1
6	-8	0.410000	7.631000	55	0
4	-5	0.580000	4.393000	32	0
10	-5	0.130000	8.548000	34	0
10	-4	0.510000	6.231000	71	1
7	-2	0.500000	7.840000	25	0
4	-8	0.240000	7.184000	51	0
7	-5	0.100000	6.833000	64	0
5	-6	0.170000	4.193000	61	0
3	-3	0.190000	7.430000	56	0
7	-7	0.320000	5.064000	32	0
9	-3	0.800000	6.452000	15	1
7	-2	0.500000	6.656000	39	0
4	-1	0.820000	6.959000	79	1
10	-7	0.540000	8.082000	29	1
4	-2	0.350000	7.704000	35	0
4	-8	0.310000	8.375000	62	0
7	-5	0.670000	5.541000	35	0
3	-6	0.590000	6.846000	89	1
10	-7	0.070000	8.427000	83	1
3	-4	0.700000	6.080000	19	0
9	-8	0.830000	6.199000	75	1
6	-6	0.050000	4.811000	25	0
3	-7	0.460000	6.165000	41	0
3	-5	0.680000	7.239000	70	0
4	-7	0.390000	8.364000	61	0
6	-8	0.270000	5.556000	34	0
9	-8	0.940000	4.798000	12	1
7	-7	0.630000	7.507000	36	1
10	-6	0.590000	8.190000	63	1
9	-1	0.400000	7.781000	68	1
4	-4	0.440000	4.432000	30	0
9	-8	0.490000	6.091000	72	1
6	-3	0.680000	6.280000	56	0
4	-5	0.530000	5.043000	23	0
6	-4	0.980000	8.165000	89	1
3	-2	0.200000	4.309000	80	0
4	-7	0.420000	5.417000	70	0
6	-8	0.290000	5.074000	83	0
4	-1	0.970000	4.387000	21	1
5	-1	0.860000	7.456000	80	1
8	-2	0.990000	7.591000	56	1
9	-4	0.440000	8.249000	84	1
6	-2	0.560000	4.986000	14	0
3	-7	0.810000	5.231000	46	0
9	-6	0.120000	7.316000	10	0
7	-5	0.380000	4.893000	32	0
9	-7	0.040000	8.269000	83	0
6	-8	0.120000	8.847000	75	0
8	-3	0.710000	4.651000	79	1
8	-7	0.500000	5.828000	77	1
6	-5	0.110000	5.060000	88	0
7	-3	0.100000	7.342000	76	0
3	-5	0.490000	7.738000	44	0
6	-7	0.710000	6.372000	75	1
8	-7	0.350000	6.509000	51	0
9	-7	0.560000	4.922000	30	1
5	-1	0.170000	4.137000	40	0
6	-8	0.600000	6.357000	61	1
3	-8	0.650000	5.526000	63	0
8	-8	0.280000	5.645000	79	0
10	-6	0.830000	4.620000	70	1
10	-2	0.140000	4.228000	75	1
4	-4	0.940000	8.816000	39	1
10	-5	0.420000	5.410000	33	1
9	-2	0.050000	8.030000	89	0
3	-5	0.960000	4.153000	13	1
10	-2	0.940000	5.712000	86	1
9	-3	0.910000	4.792000	80	1
4	-6	0.120000	7.516000	64	0
8	-7	0.480000	4.659000	37	0
7	-7	0.700000	5.594000	16	0
3	-5	0.200000	5.412000	46	0
3	-2	0.840000	5.562000	22	0
10	-7	0.050000	4.174000	52	1
6	-7	0.440000	4.745000	71	1
9	-3	0.480000	6.385000	73	0
3	-4	0.190000	8.901000	86	0
6	-2	0.400000	5.018000	37	0
10	-1	0.990000	8.330000	80	1
3	-5	0.420000	5.546000	61	0
6	-6	0.140000	4.148000	11	0
9	-7	0.550000	5.467000	66	0
8	-8	0.250000	7.981000	79	1
5	-6	0.360000	7.198000	89	0
6	-4	0.470000	8.909000	19	0
4	-6	0.320000	5.176000	26	0
4	-4	0.190000	7.353000	38	0
8	-2	0.650000	7.990000	25	0
5	-3	0.450000	7.393000	19	0
6	-1	0.560000	4.135000	29	0
6	-6	0.320000	4.385000	21	0
10	-2	0.910000	5.166000	25	1
4	-5	0.800000	8.279000	44	1
10	-2	0.700000	8.897000	24	1
8	-4	0.000e+000	8.482000	68	0
5	-2	0.690000	5.961000	81	0
5	-5	0.480000	4.667000	80	0
10	-3	0.590000	8.866000	10	1
6	-8	0.220000	6.482000	25	0
10	-7	0.810000	7.304000	69	1
8	-8	0.780000	8.859000	22	1
10	-5	0.650000	6.048000	76	1
5	-1	0.700000	7.684000	37	0
5	-4	0.900000	7.893000	62	1
8	-3	0.200000	4.973000	26	0
9	-8	0.240000	6.452000	57	1
6	-6	0.360000	8.179000	67	0
9	-3	0.030000	4.941000	85	0
9	-4	0.620000	5.534000	77	1
5	-2	0.330000	6.623000	67	0
7	-6	0.860000	4.871000	63	1
8	-6	0.900000	6.520000	64	1
3	-8	0.600000	6.716000	49	0
6	-6	0.820000	5.354000	79	1
9	-3	0.950000	5.478000	15	1
10	-8	0.970000	8.693000	50	1
8	-7	0.270000	5.795000	15	0
8	-7	0.730000	8.772000	32	1
10	-4	0.100000	5.924000	44	1
3	-6	0.320000	7.058000	35	0
4	-8	0.540000	5.695000	66	0
6	-3	0.990000	8.845000	13	1
4	-8	0.710000	4.953000	83	1
7	-5	0.190000	4.033000	37	0
8	-2	0.250000	8.891000	74	0
7	-7	0.800000	5.348000	25	0
10	-8	0.710000	4.158000	39	1
10	-8	0.600000	7.243000	58	1
10	-4	0.490000	7.837000	77	1
10	-2	0.710000	6.473000	28	1
8	-2	0.150000	6.223000	49	0
10	-7	0.190000	5.154000	40	1
10	-8	0.330000	5.322000	17	1
9	-6	0.780000	5.957000	83	1
7	-8	0.390000	5.164000	13	0
7	-6	0.130000	4.516000	79	0
8	-7	0.700000	4.378000	36	1
9	-4	0.560000	4.037000	89	1
5	-5	0.090000	7.281000	84	0
3	-6	0.610000	8.012000	40	0
9	-3	0.330000	4.137000	30	0
6	-1	0.270000	6.177000	80	0
4	-1	0.940000	7.952000	18	1
4	-4	0.250000	7.568000	23	0
5	-6	0.200000	5.707000	50	0
3	-3	0.730000	8.960000	46	0
7	-5	0.440000	7.538000	35	0
4	-6	0.850000	6.350000	10	0
8	-5	0.400000	8.040000	52	0
10	-8	0.530000	7.947000	17	1
5	-5	0.050000	8.667000	12	0
6	-2	0.070000	6.867000	47	0
7	-6	0.490000	8.241000	63	0
10	-3	0.400000	7.060000	77	1
6	-3	0.300000	7.652000	57	0
9	-3	0.970000	4.415000	34	1
8	-3	0.160000	4.585000	18	0
4	-4	0.210000	8.559000	49	0
4	-5	0.080000	8.248000	22	0
9	-6	0.450000	7.917000	75	0
7	-6	0.560000	6.908000	33	0
4	-2	0.890000	4.768000	34	1
4	-1	0.190000	6.863000	79	0
5	-7	0.140000	7.498000	26	0
9	-4	0.170000	5.747000	61	1
3	-8	0.690000	8.976000	57	0
3	-6	0.910000	5.103000	87	1
5	-4	0.890000	4.168000	81	1
8	-3	0.190000	6.271000	46	0
10	-3	0.660000	4.255000	62	1
3	-7	0.540000	7.317000	41	0
10	-5	0.260000	8.456000	72	1
5	-5	0.890000	8.580000	48	1
8	-8	0.690000	5.679000	12	0
7	-4	0.670000	7.064000	75	1
3	-5	0.540000	4.250000	48	0
4	-7	0.760000	7.875000	39	1
8	-3	0.660000	8.473000	18	0
4	-8	0.040000	8.853000	66	0
9	-5	0.330000	7.543000	65	0
5	-7	0.350000	5.577000	49	0
7	-5	0.960000	4.794000	19	1
7	-1	0.510000	6.433000	61	0
9	-7	0.250000	5.793000	47	1
5	-4	0.760000	6.485000	81	1
8	-2	0.990000	7.612000	72	1
9	-3	0.350000	7.274000	85	1
9	-7	0.790000	4.513000	66	1
6	-8	0.500000	8.132000	16	0
5	-7	0.850000	4.378000	63	1
3	-6	0.660000	4.002000	68	0
8	-8	0.880000	5.120000	58	1
4	-8	0.660000	6.299000	57	1
4	-5	0.640000	5.404000	51	0
9	-4	0.100000	8.552000	38	0
4	-3	0.360000	8.600000	59	0
5	-2	0.310000	4.243000	86	0
8	-2	0.840000	7.494000	81	1
4	-8	0.450000	6.716000	12	0
8	-5	0.810000	6.347000	64	1
5	-6	0.190000	8.548000	77	0
8	-3	0.210000	6.772000	73	0
6	-7	0.660000	7.214000	48	1
10	-4	0.790000	7.349000	65	1
4	-4	0.690000	7.965000	84	1
4	-4	0.080000	8.537000	23	0
8	-4	0.780000	6.248000	47	1
6	-5	0.650000	5.942000	21	0
6	-6	0.400000	8.673000	12	0
4	-2	0.580000	7.980000	71	0
5	-2	0.280000	8.172000	15	0
3	-8	0.630000	4.421000	21	0
4	-2	0.850000	8.055000	52	1
4	-3	0.070000	6.675000	82	0
8	-5	0.940000	8.855000	15	1
6	-7	0.130000	6.539000	79	0
10	-8	0.040000	5.328000	14	0
4	-5	0.170000	7.558000	47	0
9	-5	0.960000	6.280000	46	1
4	-2	0.240000	4.944000	85	0
9	-6	0.110000	7.122000	18	0
7	-3	0.960000	8.173000	13	1
4	-2	0.420000	6.363000	81	0
5	-4	0.870000	4.488000	68	1
5	-7	0.680000	6.617000	33	0
5	-6	0.380000	4.315000	57	0
7	-4	0.980000	6.012000	27	1
5	-7	0.030000	7.673000	28	0
3	-3	0.470000	4.907000	10	0
9	-5	0.680000	6.007000	80	1
9	-3	0.400000	4.638000	30	0
9	-5	0.920000	5.153000	14	1
5	-2	0.440000	8.366000	49	0
7	-7	0.550000	7.607000	20	0
3	-7	0.880000	7.930000	60	1
6	-8	0.360000	7.011000	53	0
5	-5	0.530000	6.290000	71	0
4	-7	0.730000	6.489000	15	0
8	-5	0.100000	8.670000	68	0
4	-2	0.550000	4.114000	85	0
9	-8	0.010000	4.782000	72	0
6	-4	0.010000	4.383000	10	0
10	-4	0.430000	5.715000	25	1
9	-6	0.800000	7.901000	38	1
7	-4	0.750000	8.527000	25	0
5	-2	0.760000	8.342000	14	0
8	-5	0.450000	8.549000	78	0
4	-3	0.340000	6.435000	86	0
6	-5	0.800000	4.612000	74	1
5	-2	0.430000	7.215000	49	0
8	-1	0.130000	7.427000	34	0
6	-5	0.590000	5.422000	10	0
9	-4	0.930000	6.647000	57	1
6	-3	0.890000	7.305000	84	1
10	-8	0.110000	8.437000	35	1
5	-8	0.930000	8.733000	74	1
7	-3	0.740000	5.860000	39	1
3	-8	0.610000	5.543000	13	0
10	-2	0.330000	4.149000	83	1
3	-6	0.720000	7.252000	22	0
8	-7	0.930000	5.854000	52	1
6	-6	0.400000	6.535000	40	0
4	-7	0.160000	6.803000	72	0
8	-2	0.610000	7.427000	19	0
4	-4	0.500000	5.330000	67	0
10	-6	0.460000	6.024000	55	1
4	-2	0.270000	8.121000	20	0
5	-3	0.640000	5.307000	33	0
6	-7	0.920000	6.463000	31	1
9	-5	0.640000	7.609000	22	1
10	-5	0.420000	8.781000	20	1
3	-3	0.870000	6.920000	87	1
5	-3	0.270000	5.047000	27	0
4	-5	0.380000	6.729000	76	0
5	-7	0.340000	7.400000	64	0
5	-1	0.940000	6.593000	73	1
4	-7	0.160000	7.721000	24	0
4	-4	0.530000	7.396000	77	0
5	-8	0.580000	6.546000	79	0
8	-7	0.280000	6.785000	23	0
7	-5	0.400000	4.154000	67	0
4	-8	0.140000	8.518000	54	0
8	-5	0.510000	5.674000	26	0
6	-3	0.400000	6.081000	35	0
8	-5	0.670000	8.881000	27	1
6	-2	0.540000	6.061000	80	0
5	-8	0.390000	4.806000	47	0
3	-6	0.990000	8.982000	56	1
8	-7	0.470000	8.078000	10	0
7	-2	0.870000	8.506000	59	1
3	-3	0.240000	5.639000	31	0
9	-5	0.950000	4.270000	62	1
8	-7	0.150000	6.957000	46	0
5	-5	0.190000	5.902000	76	0
10	-2	0.710000	6.630000	32	1
10	-2	0.260000	5.777000	73	1
3	-7	0.470000	6.894000	24	0
3	-5	0.200000	8.042000	55	0
6	-3	0.910000	6.625000	45	1
9	-3	0.540000	4.273000	61	1
3	-2	0.350000	8.883000	66	0
10	-8	0.570000	7.516000	17	1
8	-7	0.370000	4.590000	21	0
10	-7	0.590000	8.018000	41	1
8	-3	0.980000	8.606000	60	1
7	-8	0.350000	5.779000	33	0
3	-3	0.090000	7.654000	19	0
10	-3	0.220000	5.271000	75	1
9	-4	0.350000	7.899000	51	1
5	-6	0.460000	4.601000	60	0
5	-4	0.070000	8.808000	70	0
5	-5	0.590000	4.571000	26	0
6	-4	0.790000	7.272000	50	0
3	-4	0.320000	7.996000	45	0
10	-2	0.530000	6.608000	36	1
6	-1	0.830000	6.204000	81	1
5	-8	0.380000	7.853000	82	0
9	-7	0.070000	8.054000	26	0
5	-3	0.830000	5.602000	87	1
4	-6	0.140000	7.715000	52	0
8	-7	0.010000	7.392000	65	0
8	-2	0.880000	4.370000	67	1
4	-3	0.160000	8.050000	66	0
3	-7	0.040000	7.737000	39	0
7	-8	0.170000	7.872000	15	0
9	-6	0.320000	8.717000	66	1
8	-3	0.950000	6.323000	42	1
9	-7	0.820000	8.524000	55	1
8	-8	0.450000	8.665000	31	0
10	-1	0.250000	5.556000	65	1
9	-6	0.880000	5.674000	41	1
7	-2	0.170000	6.891000	80	0
10	-7	0.320000	7.716000	11	1
7	-2	0.320000	5.041000	80	0
9	-7	0.970000	8.396000	11	1
6	-2	0.670000	8.602000	36	0
3	-5	0.110000	5.839000	57	0
9	-3	0.820000	4.449000	47	1
9	-6	0.130000	6.551000	12	0
6	-3	0.480000	5.131000	48	0
5	-1	0.820000	6.358000	54	1
7	-2	0.960000	6.497000	30	1
6	-5	0.500000	8.146000	72	0
7	-7	0.350000	6.904000	78	0
5	-6	0.590000	8.722000	64	1
9	-8	0.810000	4.879000	15	1
5	-5	0.930000	7.468000	30	1
9	-4	0.750000	7.116000	76	1
3	-5	0.460000	8.224000	26	0
7	-3	0.180000	6.850000	57	0
5	-4	0.240000	6.714000	14	0
8	-8	0.270000	4.931000	89	0
6	-7	0.900000	7.383000	14	1
10	-8	0.110000	8.488000	85	1
3	-7	0.570000	4.137000	72	0
7	-1	0.790000	5.268000	62	1
7	-8	0.880000	6.054000	66	1
5	-7	0.420000	5.193000	67	0
10	-2	0.530000	6.913000	77	1
5	-5	0.420000	5.026000	57	0
4	-7	0.530000	6.723000	66	0
7	-6	0.490000	4.873000	53	0
4	-4	0.730000	6.734000	79	1
10	-8	0.120000	4.837000	59	1
6	-8	0.510000	7.899000	38	0
7	-6	0.770000	8.179000	30	1
8	-8	0.730000	8.826000	57	1
8	-6	0.190000	4.480000	44	0
6	-4	0.230000	8.437000	35	0
6	-8	0.410000	7.748000	14	0
9	-8	0.080000	6.999000	71	1
8	-5	0.100000	7.730000	66	0
6	-2	0.060000	8.172000	42	0
9	-8	0.650000	6.476000	46	1
5	-2	0.780000	4.089000	22	1
6	-8	0.080000	8.709000	27	0
8	-3	0.670000	4.509000	70	1
8	-6	0.870000	4.704000	14	0
6	-4	0.030000	8.094000	66	0
3	-6	0.020000	5.371000	15	0
3	-4	0.240000	6.488000	45	0
5	-4	0.870000	4.121000	62	1
9	-7	0.170000	8.729000	67	0
9	-8	0.620000	5.807000	77	1
4	-3	0.830000	6.888000	67	1
5	-3	0.220000	4.982000	46	0
3	-3	0.240000	5.687000	81	0
3	-5	0.460000	6.827000	72	0
10	-3	0.170000	5.420000	62	1
9	-4	0.810000	5.585000	39	1
5	-3	0.350000	4.718000	80	0
5	-5	0.460000	8.929000	10	0
3	-4	0.150000	6.599000	33	0
6	-8	0.790000	6.809000	11	0
7	-2	0.810000	5.004000	45	1
3	-6	0.680000	7.175000	58	0
4	-5	0.990000	6.782000	63	1
9	-2	0.880000	7.356000	42	1
3	-8	0.840000	8.028000	70	0
5	-2	0.050000	6.614000	20	0
10	-3	0.080000	7.395000	56	1
6	-4	0.290000	8.501000	86	0
5	-5	0.960000	5.246000	63	1
6	-5	0.360000	5.860000	43	0
6	-1	0.530000	5.122000	61	0
7	-7	0.380000	6.400000	68	0
6	-6	0.120000	8.225000	13	0
5	-1	0.710000	4.014000	17	0
4	-1	0.990000	7.703000	15	1
5	-8	0.800000	7.320000	60	1
5	-7	0.100000	4.413000	25	0
6	-4	0.120000	7.629000	20	0
9	-3	0.710000	8.421000	24	1
10	-6	0.910000	6.125000	48	1
8	-6	0.300000	4.238000	67	0
9	-2	0.520000	7.649000	87	1
3	-7	0.230000	8.765000	77	0
5	-8	0.370000	8.898000	53	0
