N	F0	PER	d0	v0	collision
8	-3	0.830000	4.645000	71	1
4	-8	0.200000	6.837000	84	0
6	-3	0.160000	4.963000	31	0
6	-2	0.750000	5.784000	75	1
9	-2	0.880000	8.400000	51	1
6	-3	0.740000	8.062000	24	0
4	-3	0.690000	5.339000	45	1
3	-6	0.990000	4.942000	50	1
4	-8	0.050000	4.983000	58	0
7	-5	0.420000	7.146000	30	0
5	-8	0.660000	6.520000	17	0
10	-7	0.360000	6.706000	80	1
3	-4	0.490000	4.365000	57	0
10	-2	0.210000	5.457000	47	1
7	-5	0.250000	7.099000	49	0
6	-6	0.410000	5.473000	60	0
4	-8	0.670000	8.223000	52	1
6	-4	0.560000	6.323000	32	1
6	-8	0.690000	8.946000	48	1
4	-2	0.320000	6.566000	64	0
4	-4	0.280000	7.252000	11	0
5	-6	0.230000	7.906000	79	0
4	-3	0.260000	8.640000	74	0
9	-8	0.120000	5.792000	47	1
10	-6	0.740000	7.517000	57	1
5	-2	0.130000	8.104000	36	0
3	-7	0.650000	8.830000	31	0
9	-8	0.370000	7.458000	62	0
10	-5	0.570000	7.455000	35	1
8	-4	0.360000	7.046000	79	0
10	-8	0.580000	7.968000	19	0
4	-4	0.850000	5.560000	80	1
5	-6	0.150000	7.654000	45	0
10	-3	0.180000	5.894000	41	1
10	-5	0.400000	4.512000	31	1
10	-7	0.110000	8.106000	61	1
9	-2	0.800000	5.797000	85	1
5	-3	0.670000	5.484000	58	0
5	-6	0.370000	8.175000	42	0
3	-8	0.990000	4.917000	13	1
8	-6	0.550000	7.463000	20	0
4	-3	0.350000	6.869000	54	0
6	-2	0.800000	5.000000	41	0
3	-2	0.830000	8.266000	77	1
9	-4	0.810000	4.829000	30	1
7	-8	0.440000	4.964000	87	1
10	-6	0.890000	8.105000	73	1
5	-4	0.370000	4.690000	67	0
9	-6	0.990000	8.923000	37	1
6	-8	0.680000	4.109000	21	0
4	-8	0.120000	8.865000	82	0
5	-2	0.980000	8.523000	55	1
9	-4	0.290000	8.147000	60	1
6	-6	0.400000	4.832000	30	0
6	-3	0.080000	6.626000	48	0
6	-2	0.660000	7.414000	11	0
3	-5	0.600000	7.153000	72	1
4	-5	0.490000	5.261000	12	0
6	-4	0.950000	5.919000	79	1
8	-5	0.170000	7.031000	29	0
8	-7	0.210000	8.487000	20	0
6	-6	0.840000	5.912000	25	0
5	-3	0.360000	4.140000	20	0
5	-8	0.970000	5.847000	30	1
7	-3	0.770000	5.443000	35	1
4	-2	0.230000	8.619000	22	0
10	-8	0.700000	4.306000	50	1
9	-8	0.580000	7.345000	28	1
7	-5	0.950000	4.531000	42	1
3	-5	0.500000	8.702000	83	0
5	-2	0.630000	8.823000	60	0
3	-6	0.410000	4.994000	58	0
3	-7	0.130000	6.117000	88	0
10	-4	0.760000	6.248000	24	1
10	-2	0.240000	5.322000	58	1
3	-2	0.870000	5.471000	34	0
8	-5	0.670000	7.565000	39	1
5	-1	0.460000	8.774000	38	0
5	-3	0.060000	5.468000	87	0
9	-4	0.590000	8.708000	43	1
6	-5	0.700000	7.909000	12	0
8	-1	0.130000	5.142000	73	0
6	-6	0.680000	6.599000	24	0
9	-5	0.530000	7.858000	71	1
7	-2	0.660000	5.484000	47	0
5	-5	0.740000	8.773000	50	1
6	-6	0.460000	7.362000	80	0
8	-4	0.220000	5.158000	33	0
5	-2	0.270000	4.114000	64	0
4	-2	0.290000	7.325000	59	0
7	-8	0.750000	7.987000	46	0
6	-3	0.250000	7.798000	35	0
8	-7	0.920000	4.551000	13	1
6	-4	0.790000	6.734000	26	0
4	-8	0.810000	4.968000	61	1
5	-5	0.200000	5.567000	40	0
3	-2	0.220000	6.263000	75	0
5	-4	0.450000	4.908000	66	0
6	-5	0.550000	6.611000	76	1
10	-2	0.690000	6.751000	52	1
9	-1	0.490000	8.847000	17	0
7	-3	0.780000	7.353000	84	1
7	-7	0.560000	8.553000	43	0
9	-8	0.970000	7.352000	18	1
8	-3	0.170000	7.546000	42	0
8	-4	0.210000	6.506000	73	0
8	-6	0.760000	5.469000	23	1
10	-5	0.450000	5.649000	47	1
7	-2	0.580000	8.287000	64	0
6	-3	0.500000	7.092000	78	0
3	-4	0.260000	4.871000	30	0
8	-5	0.480000	8.484000	21	0
7	-4	0.370000	8.895000	29	0
4	-6	0.600000	8.196000	14	0
4	-4	0.570000	8.889000	82	0
6	-7	0.520000	4.543000	70	0
10	-2	0.370000	8.297000	36	1
3	-8	0.670000	5.402000	41	0
4	-2	0.390000	6.506000	71	0
7	-2	0.930000	8.158000	73	1
10	-3	0.810000	5.348000	46	1
4	-8	0.780000	6.908000	79	1
5	-4	0.170000	7.509000	59	0
9	-5	0.700000	5.716000	54	1
3	-5	0.830000	5.852000	30	1
5	-7	0.810000	4.928000	64	1
3	-2	0.610000	4.539000	68	0
7	-4	0.330000	5.688000	19	0
6	-2	0.570000	7.515000	45	0
9	-5	0.920000	6.278000	12	1
10	-5	0.550000	6.399000	28	1
8	-8	0.860000	6.014000	73	1
9	-2	0.730000	5.692000	86	1
10	-5	0.510000	6.856000	84	1
6	-2	0.390000	7.410000	62	0
10	-7	0.160000	7.720000	15	0
4	-2	0.320000	8.397000	56	0
4	-8	0.770000	6.531000	43	1
9	-6	0.750000	5.626000	77	1
7	-4	0.710000	8.801000	64	1
6	-2	0.080000	8.448000	77	0
9	-8	0.160000	4.223000	40	0
9	-2	0.100000	8.776000	50	0
8	-5	0.860000	6.344000	31	1
5	-2	0.140000	7.547000	30	0
10	-6	0.170000	8.257000	65	1
9	-7	0.800000	8.400000	42	1
3	-4	0.170000	8.076000	15	0
8	-6	0.380000	4.178000	85	0
8	-6	0.100000	5.104000	64	0
5	-2	0.060000	8.055000	80	0
5	-7	0.590000	8.802000	36	0
8	-2	0.280000	6.485000	60	0
6	-8	0.910000	8.927000	25	1
4	-7	0.710000	8.531000	30	1
5	-7	0.610000	6.640000	89	1
3	-2	0.820000	5.247000	80	1
6	-6	0.800000	6.831000	73	1
10	-7	0.440000	4.476000	50	1
5	-3	0.830000	5.071000	69	1
5	-6	0.130000	7.148000	73	0
3	-3	0.150000	5.373000	29	0
3	-5	0.380000	4.034000	60	0
9	-3	0.090000	7.635000	10	0
4	-5	0.770000	4.220000	17	0
7	-8	0.810000	5.850000	58	1
10	-4	0.850000	4.983000	60	1
6	-3	0.160000	4.591000	65	0
9	-6	0.240000	7.891000	68	0
6	-8	0.270000	5.925000	53	0
9	-5	0.440000	7.702000	71	0
8	-2	0.140000	7.697000	43	0
5	-2	0.590000	8.158000	20	0
3	-1	0.290000	5.848000	84	0
6	-6	0.920000	5.999000	60	1
3	-5	0.720000	5.590000	65	1
3	-8	0.120000	8.679000	84	0
6	-3	0.830000	7.296000	74	1
8	-7	0.470000	4.959000	11	0
5	-5	0.360000	5.355000	59	0
7	-7	0.960000	4.534000	28	1
5	-3	0.010000	6.204000	70	0
10	-2	0.950000	8.453000	52	1
4	-7	0.420000	5.010000	85	0
10	-6	0.380000	5.681000	72	1
9	-3	0.520000	8.327000	89	1
10	-4	0.730000	6.931000	39	1
4	-2	0.710000	8.499000	32	0
9	-5	0.260000	5.176000	35	1
10	-2	0.280000	8.390000	30	1
6	-7	0.990000	6.971000	20	1
6	-2	0.210000	5.595000	10	0
5	-5	0.380000	7.380000	28	0
4	-4	1.000000	4.139000	39	1
6	-5	0.970000	8.204000	72	1
9	-6	0.190000	4.315000	62	1
9	-2	0.630000	6.557000	83	1
4	-8	0.740000	5.773000	53	0
5	-7	0.780000	4.917000	55	1
6	-3	0.580000	7.005000	59	1
3	-2	0.630000	6.158000	61	0
3	-8	0.350000	7.273000	12	0
9	-6	0.570000	5.915000	83	1
6	-3	0.930000	8.063000	15	0
3	-8	0.040000	4.771000	65	0
4	-6	0.760000	8.415000	56	1
8	-3	0.650000	6.506000	35	1
4	-5	0.850000	6.690000	19	0
4	-5	0.390000	8.346000	61	0
10	-4	0.850000	4.022000	48	1
9	-4	0.740000	4.608000	27	1
8	-2	0.950000	8.191000	57	1
5	-5	0.740000	4.401000	16	0
7	-6	0.020000	8.080000	15	0
3	-5	0.000e+000	4.453000	37	0
10	-3	0.230000	8.131000	28	1
5	-3	0.280000	7.929000	64	0
7	-8	0.900000	4.651000	74	1
5	-8	0.440000	8.825000	76	0
4	-3	0.140000	6.505000	20	0
9	-5	0.510000	6.186000	33	1
4	-2	0.030000	4.408000	28	0
8	-6	0.400000	6.566000	41	0
4	-6	0.120000	7.501000	61	0
4	-4	0.990000	4.673000	74	1
9	-5	0.460000	8.740000	67	0
6	-3	0.750000	4.749000	55	1
9	-6	0.290000	8.872000	17	1
5	-7	0.320000	4.628000	12	0
4	-5	0.430000	6.330000	62	0
10	-4	0.380000	4.473000	89	1
4	-2	0.100000	8.124000	40	0
5	-3	0.970000	5.271000	12	1
10	-4	0.190000	6.381000	83	1
5	-2	0.900000	5.016000	73	1
6	-1	0.710000	7.141000	39	0
7	-5	0.650000	6.863000	19	0
7	-5	0.060000	5.686000	34	0
8	-5	0.040000	7.077000	57	0
5	-4	0.410000	4.064000	59	0
7	-7	0.100000	6.724000	42	0
7	-3	0.170000	4.082000	79	0
9	-8	0.820000	7.452000	11	1
3	-8	0.870000	4.107000	53	1
8	-2	0.340000	5.682000	46	0
10	-1	0.060000	6.594000	26	1
9	-6	0.700000	6.756000	82	1
3	-4	0.420000	5.374000	72	0
7	-2	0.630000	8.964000	23	0
4	-6	0.040000	5.280000	77	0
4	-7	0.920000	7.468000	10	0
3	-4	0.040000	5.087000	66	0
4	-8	0.180000	5.250000	43	0
9	-7	0.630000	8.384000	70	1
7	-1	0.240000	7.620000	80	0
7	-4	0.480000	4.454000	66	0
8	-3	0.810000	4.792000	26	1
10	-3	0.090000	5.966000	64	1
8	-4	0.720000	6.102000	80	1
7	-3	0.420000	6.283000	64	0
8	-2	0.660000	8.136000	50	1
7	-7	0.270000	4.877000	20	0
7	-2	0.510000	6.690000	46	0
3	-2	0.330000	4.502000	85	0
8	-4	0.060000	5.665000	37	0
9	-8	0.510000	8.617000	13	0
3	-6	0.290000	4.606000	40	0
5	-3	0.930000	7.242000	56	1
8	-5	0.230000	4.348000	61	0
8	-8	0.860000	6.769000	26	1
5	-2	0.730000	8.921000	39	1
10	-7	0.450000	5.076000	70	1
7	-7	0.490000	6.708000	31	0
3	-4	0.900000	5.520000	46	1
8	-5	0.890000	7.115000	80	1
10	-2	0.750000	6.782000	13	1
4	-5	0.800000	8.438000	54	1
3	-6	0.690000	4.026000	34	0
10	-7	0.900000	7.606000	24	1
8	-4	0.930000	5.868000	19	1
10	-6	0.890000	6.530000	47	1
5	-4	0.370000	5.607000	40	0
7	-8	0.380000	6.314000	75	0
10	-3	0.620000	5.666000	61	1
6	-8	0.100000	4.727000	15	0
9	-7	0.690000	5.534000	18	1
8	-5	0.410000	4.152000	49	0
10	-6	0.220000	6.073000	43	1
9	-4	0.940000	7.204000	33	1
8	-6	0.890000	7.832000	20	1
3	-7	0.260000	7.516000	73	0
3	-4	0.890000	7.659000	50	1
6	-2	0.370000	4.237000	83	0
3	-2	0.550000	6.017000	61	0
5	-5	0.850000	8.120000	26	1
9	-4	0.150000	7.717000	31	0
5	-8	0.500000	6.271000	26	0
10	-7	0.700000	6.470000	11	1
4	-2	1.000000	8.558000	15	1
7	-6	0.390000	6.664000	74	0
5	-8	0.130000	6.024000	20	0
6	-5	0.150000	6.730000	16	0
7	-8	0.240000	5.038000	59	0
10	-3	0.980000	4.357000	45	1
10	-5	0.200000	5.505000	36	0
10	-4	0.350000	8.657000	76	1
6	-2	0.570000	4.774000	26	0
4	-4	0.920000	6.035000	33	1
8	-8	0.310000	6.640000	12	0
6	-4	0.530000	5.040000	31	0
3	-2	0.800000	5.321000	64	1
10	-6	0.770000	4.367000	57	1
6	-3	0.660000	7.483000	37	1
3	-6	0.710000	4.144000	39	0
6	-5	0.510000	6.246000	44	0
4	-6	0.770000	4.011000	76	1
5	-6	0.660000	4.572000	54	0
10	-7	0.950000	5.801000	54	1
10	-7	0.840000	6.393000	73	1
3	-4	0.820000	7.980000	67	0
5	-6	0.530000	4.071000	57	0
4	-8	0.730000	6.780000	41	1
3	-8	0.130000	4.879000	60	0
7	-2	0.750000	7.482000	36	0
9	-7	0.250000	7.293000	65	0
4	-1	0.690000	4.347000	75	0
7	-4	0.230000	8.481000	77	0
5	-6	0.890000	4.381000	49	1
9	-1	0.190000	8.956000	53	1
8	-7	0.430000	8.303000	39	0
4	-4	0.240000	7.699000	33	0
9	-2	0.610000	7.387000	86	1
4	-7	0.320000	5.975000	76	0
4	-2	0.280000	6.661000	23	0
5	-8	0.240000	4.788000	50	0
9	-1	0.260000	8.048000	86	1
7	-8	0.090000	5.892000	87	0
4	-4	0.070000	4.752000	29	0
10	-1	0.940000	6.922000	82	1
10	-2	0.410000	8.486000	35	1
7	-6	0.960000	5.179000	78	1
9	-5	0.000e+000	4.295000	39	0
10	-3	0.180000	5.874000	46	1
7	-8	0.820000	8.543000	62	1
8	-3	0.270000	4.174000	89	0
5	-5	0.400000	4.107000	54	0
3	-7	0.510000	8.312000	24	0
9	-8	0.220000	4.428000	54	1
9	-4	0.530000	4.046000	19	0
3	-3	0.400000	6.012000	61	0
6	-7	0.030000	6.164000	78	0
9	-6	0.120000	6.939000	41	0
5	-7	0.470000	5.516000	37	0
9	-2	0.160000	5.705000	60	1
7	-7	0.180000	8.911000	56	0
5	-3	0.750000	6.295000	13	0
7	-7	0.540000	5.005000	12	0
5	-7	0.870000	5.343000	52	1
7	-6	0.670000	4.933000	57	1
5	-2	0.210000	6.578000	18	0
6	-6	0.740000	7.300000	53	1
9	-7	0.860000	7.408000	69	1
9	-4	0.500000	5.059000	86	1
4	-3	0.930000	4.806000	67	1
6	-3	0.320000	7.898000	46	0
7	-6	0.910000	8.670000	89	1
3	-6	0.460000	7.838000	51	0
4	-4	0.670000	8.946000	41	1
10	-4	0.560000	7.041000	61	1
3	-4	0.460000	5.148000	80	0
5	-2	0.170000	6.239000	70	0
7	-2	0.190000	6.946000	65	0
4	-3	0.260000	4.337000	63	0
10	-1	0.220000	7.534000	51	1
4	-2	0.350000	7.640000	26	0
5	-3	0.720000	4.814000	79	1
4	-5	0.940000	5.936000	30	1
10	-2	0.910000	7.508000	63	1
8	-2	0.810000	5.611000	43	1
7	-4	0.420000	4.821000	52	0
6	-7	0.740000	7.651000	52	1
4	-4	0.870000	5.265000	68	1
6	-2	0.850000	6.850000	22	1
7	-6	0.980000	6.981000	38	1
7	-2	0.030000	8.637000	80	0
5	-8	0.010000	7.539000	63	0
5	-5	0.030000	8.259000	18	0
10	-5	0.460000	7.958000	39	1
7	-7	0.680000	4.095000	69	1
8	-3	0.730000	5.766000	31	1
8	-3	0.500000	4.411000	69	1
10	-5	0.700000	7.127000	14	1
3	-4	0.510000	4.228000	18	0
3	-2	0.230000	7.852000	49	0
4	-7	0.860000	7.999000	25	0
6	-7	0.990000	5.629000	42	1
6	-5	0.210000	4.243000	32	0
7	-6	0.880000	5.997000	89	1
7	-8	0.840000	4.171000	37	1
5	-4	0.880000	5.789000	78	1
8	-6	0.190000	5.437000	83	0
8	-8	0.230000	4.374000	74	0
8	-4	0.450000	7.801000	14	0
10	-4	0.670000	8.733000	33	1
6	-3	0.970000	5.823000	78	1
4	-8	0.190000	6.945000	28	0
5	-5	0.060000	6.612000	41	0
3	-6	0.580000	4.844000	37	0
3	-8	0.300000	8.482000	27	0
6	-5	0.930000	6.090000	83	1
3	-6	0.150000	4.728000	74	0
9	-7	0.780000	4.840000	10	1
10	-7	0.820000	8.985000	51	1
5	-8	0.300000	8.073000	85	1
9	-6	0.510000	4.182000	35	1
3	-3	0.390000	8.867000	88	0
7	-7	0.020000	4.006000	25	0
9	-3	0.500000	5.393000	87	0
8	-1	0.280000	6.362000	35	0
4	-7	0.910000	8.814000	80	1
8	-4	0.310000	4.407000	19	0
6	-6	0.430000	6.821000	24	0
6	-4	0.200000	4.620000	17	0
5	-3	0.290000	5.403000	20	0
6	-3	0.810000	6.105000	15	0
8	-4	0.330000	6.844000	10	0
6	-4	0.550000	7.761000	70	0
10	-6	0.890000	6.507000	76	1
9	-7	0.870000	5.587000	70	1
4	-7	0.920000	4.728000	72	1
9	-4	0.400000	6.314000	65	1
10	-7	0.090000	4.018000	50	1
4	-2	0.900000	8.628000	15	0
4	-6	0.450000	5.288000	17	0
5	-8	0.400000	8.422000	43	0
5	-2	0.010000	7.642000	53	0
7	-6	0.950000	4.911000	75	1
10	-1	0.490000	4.023000	76	1
3	-1	0.380000	4.607000	55	0
10	-7	0.100000	5.744000	86	1
6	-5	0.810000	4.336000	76	1
9	-3	0.540000	5.501000	67	0
7	-6	0.900000	7.459000	29	1
4	-4	0.860000	5.601000	16	0
5	-4	0.410000	4.772000	58	0
3	-7	0.600000	4.968000	42	0
10	-4	0.730000	7.614000	18	1
6	-4	0.620000	5.662000	37	0
5	-2	0.970000	6.922000	83	1
3	-4	0.190000	5.567000	74	0
8	-5	0.400000	4.166000	24	0
9	-2	0.120000	5.083000	44	1
6	-6	0.150000	8.314000	79	0
7	-1	0.240000	4.124000	43	0
9	-6	0.380000	4.945000	14	0
10	-3	0.990000	8.972000	13	1
5	-6	0.930000	8.716000	34	1
8	-5	0.740000	5.827000	79	1
3	-1	0.020000	7.020000	37	0
9	-3	0.740000	8.143000	68	1
10	-8	0.960000	6.760000	18	1
6	-5	0.850000	4.865000	38	1
4	-6	0.570000	8.470000	68	0
3	-1	0.020000	6.638000	55	0
6	-7	0.740000	7.759000	46	1
10	-7	0.370000	7.864000	62	1
10	-4	0.760000	8.479000	81	1
10	-8	0.740000	5.042000	75	1
8	-7	0.540000	7.150000	40	0
10	-2	0.440000	7.560000	48	1
4	-4	0.660000	8.682000	39	0
3	-3	0.700000	7.835000	40	0
6	-5	0.420000	6.437000	70	0
4	-6	0.180000	4.215000	23	0
9	-7	0.550000	8.892000	36	0
4	-3	0.420000	5.865000	38	0
5	-1	0.370000	4.002000	25	0
5	-3	0.480000	8.194000	74	0
10	-8	0.600000	7.443000	44	1
3	-5	0.980000	5.510000	63	1
6	-6	0.970000	4.627000	18	1
5	-5	0.260000	4.172000	21	0
7	-6	0.790000	7.432000	17	0
7	-4	0.290000	7.225000	86	0
8	-5	0.450000	8.100000	18	0
6	-2	0.250000	7.494000	52	0
4	-6	0.930000	6.796000	30	1
4	-7	0.400000	5.863000	23	0
9	-2	0.850000	8.992000	50	1
6	-8	0.810000	4.663000	37	1
4	-6	0.040000	8.316000	69	0
5	-7	0.400000	7.957000	41	0
5	-1	0.010000	7.176000	11	0
5	-8	0.450000	4.407000	32	0
6	-3	0.560000	6.122000	41	1
9	-6	0.600000	7.789000	43	0
4	-5	0.470000	4.747000	85	0
9	-4	0.430000	5.397000	72	1
6	-8	0.210000	6.615000	31	0
3	-7	0.800000	4.904000	35	0
7	-5	0.510000	8.502000	25	0
6	-5	0.430000	4.835000	80	1
8	-1	0.470000	8.970000	41	0
8	-2	0.780000	5.892000	35	1
7	-1	0.480000	8.594000	19	0
8	-5	0.810000	8.928000	19	0
10	-2	0.960000	4.779000	31	1
7	-1	0.260000	4.389000	36	0
4	-7	0.500000	8.716000	61	0
7	-6	0.460000	4.401000	49	0
4	-6	0.780000	4.710000	49	1
5	-2	0.180000	7.815000	28	0
5	-3	0.200000	6.067000	64	0
7	-4	0.310000	7.750000	73	0
3	-6	0.460000	6.113000	85	1
6	-3	0.440000	5.171000	38	0
3	-4	0.200000	5.445000	31	0
5	-6	0.920000	4.076000	21	1
3	-5	0.220000	8.650000	66	0
3	-6	0.360000	8.820000	82	0
5	-4	0.070000	4.928000	73	0
5	-4	0.090000	8.128000	28	0
6	-5	0.120000	6.375000	23	0
4	-3	0.120000	6.172000	12	0
5	-4	0.490000	8.360000	25	0
7	-3	0.680000	8.526000	49	1
6	-2	0.140000	4.224000	77	0
8	-5	0.230000	5.024000	40	0
4	-2	0.780000	6.466000	31	1
5	-1	0.080000	6.063000	76	0
5	-2	0.600000	4.287000	71	0
10	-5	0.790000	4.466000	55	1
7	-1	0.190000	5.061000	34	0
8	-2	0.840000	5.917000	86	1
9	-4	0.450000	5.152000	56	1
3	-2	0.320000	4.825000	29	0
8	-2	0.950000	4.955000	45	1
4	-7	0.320000	7.117000	17	0
6	-6	0.280000	5.264000	85	0
6	-5	0.860000	6.057000	48	1
4	-3	0.080000	4.672000	38	0
8	-4	0.450000	4.344000	51	0
3	-1	0.760000	6.290000	46	0
10	-7	0.560000	5.867000	50	1
5	-1	0.540000	7.470000	84	0
9	-7	0.650000	4.171000	14	1
9	-1	0.110000	4.828000	81	1
10	-8	0.850000	4.176000	27	1
5	-3	0.150000	8.763000	71	0
7	-8	0.260000	7.983000	81	0
4	-2	0.420000	8.855000	13	0
9	-4	0.870000	4.491000	80	1
10	-8	0.410000	8.651000	42	1
7	-6	0.630000	4.778000	32	0
5	-3	0.050000	8.588000	87	0
8	-6	0.980000	8.317000	28	1
6	-5	0.940000	6.500000	15	1
3	-1	0.070000	4.116000	71	0
5	-6	0.700000	6.751000	87	1
4	-5	0.510000	6.378000	13	0
8	-3	0.460000	7.007000	79	1
8	-2	0.310000	5.761000	86	0
9	-5	0.530000	4.180000	65	1
9	-1	0.570000	5.834000	67	1
10	-8	0.120000	7.482000	29	0
3	-6	0.600000	6.188000	81	1
5	-7	0.570000	7.741000	34	0
7	-6	0.270000	5.429000	18	0
3	-4	0.010000	4.779000	84	0
7	-5	0.640000	4.917000	20	0
8	-6	0.050000	8.726000	75	0
5	-5	0.920000	5.705000	37	1
10	-4	0.230000	7.800000	41	1
10	-5	0.380000	8.685000	53	1
3	-3	0.600000	4.796000	44	0
3	-5	0.320000	5.926000	34	0
10	-3	0.530000	7.020000	64	1
10	-2	0.840000	6.644000	69	1
6	-6	0.230000	7.228000	89	0
5	-2	0.910000	4.012000	66	1
8	-4	0.120000	5.133000	57	0
7	-4	0.080000	8.100000	33	0
3	-8	0.150000	7.967000	30	0
8	-5	0.280000	5.617000	87	0
10	-4	0.410000	8.037000	51	1
8	-2	0.620000	4.138000	81	1
4	-3	0.240000	8.357000	51	0
9	-8	0.600000	8.025000	24	0
9	-1	0.070000	8.508000	41	0
5	-4	0.820000	8.532000	61	1
4	-2	0.540000	4.692000	12	0
4	-6	0.090000	6.357000	54	0
9	-6	0.370000	5.010000	13	1
10	-3	0.900000	5.765000	88	1
5	-3	0.020000	8.381000	24	0
7	-4	0.550000	6.608000	59	1
7	-5	0.910000	8.750000	32	1
8	-8	0.960000	7.937000	74	1
4	-6	0.330000	7.585000	47	0
4	-8	0.290000	8.256000	34	0
3	-3	0.740000	8.915000	62	0
8	-8	0.460000	5.037000	52	0
9	-2	0.270000	6.940000	86	1
9	-2	0.790000	5.146000	41	0
6	-7	0.840000	6.628000	32	0
7	-2	0.440000	5.823000	42	0
8	-4	0.180000	7.672000	68	0
3	-7	0.310000	5.100000	32	0
4	-7	0.950000	5.237000	89	1
10	-5	0.930000	6.822000	82	1
10	-5	0.820000	4.917000	62	1
9	-8	0.710000	5.507000	41	1
10	-8	0.400000	5.694000	25	1
10	-4	0.300000	6.311000	45	1
6	-8	0.430000	6.435000	20	0
9	-6	0.190000	4.192000	13	1
7	-3	0.560000	8.872000	66	0
6	-4	0.470000	7.691000	80	1
8	-7	0.020000	4.349000	42	0
5	-5	0.800000	5.326000	29	1
6	-8	0.100000	7.401000	74	0
3	-7	0.190000	8.218000	38	0
9	-2	0.410000	4.349000	28	0
3	-2	0.610000	4.350000	41	0
9	-8	0.820000	7.968000	32	1
7	-8	0.460000	8.095000	48	0
6	-4	0.780000	5.909000	48	0
10	-4	0.720000	8.158000	29	1
9	-3	0.030000	7.804000	74	0
9	-1	0.190000	4.336000	40	0
9	-2	0.540000	5.399000	76	1
9	-4	0.650000	4.610000	86	1
9	-2	0.770000	8.842000	16	1
9	-8	0.460000	4.023000	79	1
4	-1	0.980000	4.761000	75	1
3	-5	0.870000	5.333000	14	0
4	-3	0.090000	8.941000	84	0
10	-8	0.460000	8.606000	57	1
5	-2	0.680000	4.750000	48	0
4	-2	0.970000	8.463000	87	1
7	-2	0.850000	4.038000	66	1
3	-8	0.310000	4.684000	13	0
9	-3	0.530000	5.831000	44	1
4	-3	0.810000	6.971000	82	1
7	-2	0.120000	4.107000	87	0
3	-7	0.770000	7.468000	59	1
9	-8	0.750000	4.036000	52	1
9	-7	0.790000	8.203000	14	1
7	-3	0.340000	7.337000	56	0
4	-7	0.660000	7.653000	56	1
7	-3	0.550000	8.258000	75	1
7	-4	0.430000	5.455000	48	0
6	-8	0.750000	5.769000	88	1
4	-2	0.470000	4.394000	79	0
7	-8	0.420000	7.531000	66	0
10	-8	0.750000	5.365000	26	1
7	-4	0.140000	8.437000	45	0
9	-8	0.210000	8.327000	82	1
5	-6	0.820000	5.051000	53	1
10	-1	0.120000	7.124000	17	0
7	-3	0.690000	6.839000	44	1
3	-8	0.060000	6.489000	16	0
5	-1	0.190000	6.620000	32	0
5	-3	0.310000	5.856000	42	0
3	-1	0.410000	7.544000	12	0
7	-5	0.540000	5.197000	68	1
8	-4	0.500000	5.843000	15	0
8	-2	0.890000	6.235000	23	1
7	-1	0.590000	8.955000	88	0
5	-6	0.500000	5.271000	62	0
6	-5	0.200000	7.968000	86	0
5	-4	0.790000	6.274000	10	0
8	-8	0.560000	7.404000	87	1
7	-3	0.760000	7.634000	72	1
7	-7	0.040000	6.305000	30	0
8	-3	0.110000	6.168000	28	0
3	-4	0.070000	6.667000	44	0
10	-2	0.780000	7.758000	74	1
7	-7	0.260000	6.838000	28	0
9	-8	0.920000	7.682000	79	1
9	-7	0.470000	6.857000	81	1
8	-5	0.830000	4.015000	14	1
7	-7	0.790000	4.699000	82	1
3	-6	0.740000	5.338000	69	0
7	-5	0.550000	7.442000	34	1
8	-2	0.420000	7.113000	46	1
6	-2	0.860000	4.355000	27	1
8	-6	0.990000	6.979000	83	1
5	-5	0.440000	7.644000	31	0
8	-3	0.550000	4.345000	40	1
3	-4	0.660000	6.047000	10	0
8	-6	0.880000	4.671000	41	1
5	-4	0.250000	4.356000	54	0
4	-8	0.770000	7.592000	89	1
4	-8	0.160000	5.691000	69	0
3	-5	0.530000	5.348000	41	0
8	-3	0.250000	6.488000	32	0
7	-6	0.880000	6.401000	37	1
4	-4	0.840000	4.577000	24	1
4	-8	0.230000	7.650000	83	0
5	-7	0.690000	5.815000	31	0
8	-6	0.390000	6.018000	55	0
7	-2	0.610000	4.473000	75	1
10	-8	0.800000	7.124000	58	1
9	-7	0.100000	4.249000	63	1
9	-7	0.380000	5.416000	22	0
4	-7	1.000000	6.948000	61	1
3	-7	0.380000	5.007000	79	0
7	-2	0.110000	8.651000	70	0
3	-6	0.670000	8.520000	27	0
5	-3	0.890000	4.641000	58	1
7	-6	0.690000	4.252000	23	0
9	-7	0.610000	8.069000	37	0
7	-6	0.480000	5.030000	79	1
6	-3	0.760000	6.214000	77	1
9	-7	0.900000	8.883000	14	1
5	-2	0.350000	4.526000	81	0
3	-7	0.450000	8.727000	11	0
8	-2	0.680000	4.864000	42	1
9	-4	0.520000	8.600000	48	1
10	-2	0.740000	7.224000	38	1
9	-2	0.640000	7.826000	58	1
3	-5	0.680000	4.487000	20	0
5	-3	0.400000	5.608000	10	0
6	-5	0.510000	7.300000	20	0
8	-3	0.350000	6.037000	66	0
6	-3	0.070000	6.978000	46	0
9	-2	0.160000	7.760000	89	0
9	-5	0.920000	7.840000	70	1
5	-2	0.550000	5.454000	86	0
9	-4	0.660000	7.155000	56	0
4	-5	0.210000	8.640000	47	0
5	-7	0.580000	5.825000	20	0
6	-2	0.770000	8.512000	44	1
6	-5	0.320000	5.146000	46	0
